         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2565    0.001    0.000    0.001    0.000 version.py:393(_parse_letter_version)
      385    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     1437    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     5032    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.001    0.001    0.178    0.178 _continuous_distns.py:6(<module>)
       27    0.001    0.000    0.001    0.000 enum.py:221(<setcomp>)
     1090    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      321    0.001    0.000    0.005    0.000 function_base.py:475(add_newdoc)
      102    0.001    0.000    0.008    0.000 typing.py:434(Union)
      379    0.001    0.000    0.001    0.000 _util.py:365(<listcomp>)
       32    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
       49    0.001    0.000    0.001    0.000 _deprecated_my_exceptions.py:66(_mk_exception)
 1530/164    0.001    0.000    0.005    0.000 abc.py:121(__subclasscheck__)
        1    0.001    0.001    0.001    0.001 __init__.py:330(<listcomp>)
      122    0.001    0.000    0.008    0.000 __init__.py:1336(safe_version)
      260    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot}
      854    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      116    0.001    0.000    0.057    0.000 sre_parse.py:937(parse)
      378    0.001    0.000    0.001    0.000 enum.py:462(__setattr__)
      410    0.001    0.000    0.001    0.000 inspect.py:494(unwrap)
     1721    0.001    0.000    0.007    0.000 abc.py:117(__instancecheck__)
      122    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      550    0.001    0.000    0.001    0.000 __init__.py:2656(key)
       16    0.001    0.000    0.013    0.001 dataclasses.py:809(_process_class)
     2106    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
      139    0.001    0.000    0.005    0.000 _lil.py:302(_set_arrayXarray)
       80    0.001    0.000    0.004    0.000 core.py:3785(__init__)
     3192    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
     1407    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
        1    0.001    0.001    0.001    0.001 compressor.py:231(BinaryZlibFile)
